ID Code,Supplier,Fragrance Name,Base,Signal Word,CLP Data,Contains,Warning,Pictogram
CO1045,Cosy Owl,Cucumber Melon,10% NH,Warning,"H412, P273, P501","d-Limonene, Cyclamal",Harmful to aquatic life with long lasting effects.,
CO1046,Cosy Owl,Dark Honey Tobacco,10% NH,Warning,"H317, P273, P501","COUMARIN, DELTA-DAMASCONE, ISOEUGENOL, LIMONENE, METHYLCINNAMIC ALDEHYDE",May cause an allergic skin reaction.,GHS07
CO1047,Cosy Owl,Egyptian Amber,10% NH,Warning,"H412, P273, P501",COUMARIN,Harmful to aquatic life with long lasting effects.,
CO1048,Cosy Owl,English Pear Freesia,10% NH,Warning,H412,"Geraniol, Helional, Linalool, Linalyl acetate",Harmful to aquatic life with long lasting effects.,
CO1049,Cosy Owl,Evergreen,10% NH,Warning,"H412, P273, P501",,Harmful to aquatic life with long lasting effects.,
CO1050,Cosy Owl,Fig,10% NH,Warning,"H317, P273, P501",,May cause an allergic skin reaction.,GHS07
CO1051,Cosy Owl,Fragrance Five,10% NH,Warning,"H412, P273, P501","Amyl cinnamic aldehyde, Linalool, Heliotropine, COUMARIN, Hydroxy, Citronellol Pure, Linalyl acetate",Harmful to aquatic life with long lasting effects.,
CO1052,Cosy Owl,Frankincense Myrrh,10% NH,Warning,"H412, P273, P501","ALPHA-ISOMETHYL IONONE, EUGENOL, LINALOOL, LINALYL ACETATE, METHYLCINNAMIC ALDEHYDE, TETRAHYDROLINALOOL, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES",Harmful to aquatic life with long lasting effects.,
CO1053,Cosy Owl,French Pear,10% NH,,,"Geranyl acetate, Eugenol, Cinnamic aldehyde, Neryl acetate, dLimonene, Hexyl cinnamic aldehyde, HELIOTROPINE",,
CO1054,Cosy Owl,French Vanilla,10% NH,,,Heliotropine,,
CO1055,Cosy Owl,Fresh Cut Grass,10% NH,Warning,"H412, P273, P501","Hexyl cinnamic aldehyde, Cyclamal, Helional, Hexyl salicylate, Orange essence oil, Triplal (Vertocitral)",Harmful to aquatic life with long lasting effects.,
CO1056,Cosy Owl,Fresh Linen,10% NH,Warning,"H412, P273, P501","Hexyl cinnamic aldehyde, Linalool, d-Limonene",Harmful to aquatic life with long lasting effects.,
CO1057,Cosy Owl,Fresh Unstoppables,10% NH,,,"BENZYL SALICYLATE, CITRONELLOL, COUMARIN, TETRAMETHYL ACETYLOCTAHYDRONAPHTHALENES",,
CO1058,Cosy Owl,Frosted Cranberries,10% NH,,,"CITRAL, DELTA-DAMASCONE, ETHYL METHYLPHENYLGLYCIDATE, LIMONENE, LINALOOL",,
CO1059,Cosy Owl,Fudge,10% NH,Warning,"H412, P273, P501",,Harmful to aquatic life with long lasting effects.,
CO1060,Cosy Owl,Gardenia,10% NH,,,"Geranyl acetate, Iso E Super, Hydroxy, Amyl cinnamic aldehyde",,
CO1061,Cosy Owl,Gingerbread,10% NH,Warning,"H412, P273, P501","alpha-Methylcinnamic aldehyde, Eugenol",Harmful to aquatic life with long lasting effects.,
CO1062,Cosy Owl,Grace Type,10% NH,,,"(R)-p-mentha-1,8-diene; d-limonene, Linalyl acetate, Citrus medica limonum (Lemon) peel oil, Linalool, Patchouli oil, Bergamot oil, Floralozone, Cyclamal, COUMARIN, Citronellol Pure, Vertofix",,
